last_updated_epoch,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
1693000312,867.8,158.8,5.7,10.1,122.4,149.4,4,10
1693000313,534.1,103.0,3.7,6.7,91.3,151.0,4,10
1693000314,534.1,110.2,2.9,3.4,91.2,131.6,4,10
1693000315,614.2,130.2,3.3,3.7,60.9,69.9,3,8
1693000316,801.1,153.1,10.4,26.7,100.2,115.8,4,10
1693000317,634.2,105.9,5.4,4.1,79.9,104.5,4,10
1693000318,423.9,86.6,2.6,3.2,65.7,151.8,4,9
1693000319,494.0,88.0,2.7,3.0,71.2,131.2,4,10
1693000320,205.3,19.0,3.4,0.5,1.3,2.5,1,1
1693000321,220.3,15.2,5.5,2.0,1.4,2.7,1,1
1693000322,208.6,29.0,2.2,0.8,2.8,5.2,1,1
1693000323,181.9,20.4,1.5,1.3,1.9,3.1,1,1
1693000324,195.3,22.5,2.3,1.2,1.5,2.3,1,1
1693000325,181.9,27.5,1.6,0.3,1.1,1.7,1,1
1693000326,198.6,35.1,1.9,0.5,2.5,5.1,1,1
1693000327,205.3,29.7,2.0,1.0,1.7,3.5,1,1
1693000328,200.3,25.4,2.9,0.4,1.1,2.3,1,1
1693000329,230.3,33.3,2.3,0.9,5.4,7.7,1,1
1693000330,223.6,23.3,3.7,2.3,2.9,5.3,1,1
1693000331,190.3,27.9,2.6,0.4,1.0,1.7,1,1
1693000332,175.2,31.5,0.2,0.4,5.1,7.1,1,1
1693000333,200.3,29.0,2.8,1.6,1.7,2.9,1,1
1693000334,178.6,24.3,1.2,0.3,0.9,1.6,1,1
1693000335,176.9,26.1,1.4,0.2,1.6,2.4,1,1
1693000336,193.6,20.4,8.4,30.3,2.4,4.8,1,1
1693000337,210.3,18.6,3.3,0.9,1.4,2.8,1,1
1693000338,180.2,24.3,1.1,0.4,0.8,1.8,1,1
1693000339,180.2,25.8,1.2,0.3,1.2,2.0,1,1
1693000340,191.9,29.7,2.1,0.6,1.3,2.4,1,1
1693000341,240.3,43.3,2.5,2.3,13.8,16.7,1,2
1693000342,180.2,30.8,0.7,0.5,2.2,3.9,1,1
1693000343,207.0,28.6,1.7,0.4,2.1,3.6,1,1
1693000344,200.3,27.5,1.7,0.9,2.8,5.7,1,1
1693000345,220.3,30.0,2.6,1.6,5.3,7.7,1,1
1693000346,193.6,25.8,1.4,0.7,1.7,3.1,1,1
1693000347,270.4,29.3,12.3,45.8,30.7,38.0,2,3
1693000348,220.3,26.8,5.0,12.6,9.1,11.7,1,1
1693000349,297.1,39.0,3.8,2.5,14.0,17.1,1,2
1693000350,230.3,27.9,4.0,8.0,13.4,18.6,1,2
1693000351,313.8,31.1,5.2,2.8,15.4,18.7,1,2
1693000352,207.0,27.2,1.8,0.9,4.3,6.1,1,1
1693000353,173.6,23.3,0.8,0.2,1.9,2.6,1,1
1693000354,195.3,24.0,2.5,0.8,2.4,4.1,1,1
1693000355,240.3,43.3,2.5,2.3,13.8,16.7,1,2
1693000356,213.6,28.3,3.4,5.3,4.6,6.9,1,1
1693000357,223.6,40.4,1.2,0.9,6.1,9.7,1,1
1693000358,237.0,32.2,4.3,5.0,9.3,12.6,1,1
1693000359,170.2,30.4,0.4,0.3,2.5,3.4,1,1
1693000360,247.0,45.8,3.0,4.3,14.6,19.8,1,2
1693000361,217.0,25.8,2.0,0.8,4.9,6.7,1,1
1693000362,212.0,24.3,4.5,11.7,8.4,10.5,1,1
1693000363,250.3,83.7,3.6,16.5,39.0,47.9,2,4
1693000364,196.9,31.5,0.9,0.6,2.4,4.0,1,1
1693000365,213.6,29.7,2.9,4.4,6.7,8.3,1,1
1693000366,313.8,28.3,9.3,16.7,18.4,37.4,2,2
1693000367,212.0,30.4,3.9,5.3,12.8,27.2,1,2
1693000368,330.5,22.4,12.5,18.8,16.3,23.7,2,2
1693000369,287.1,62.2,4.1,8.6,26.0,31.8,2,3
1693000370,370.5,93.0,1.7,6.8,50.2,55.1,3,6
1693000371,397.2,90.8,2.5,10.7,68.1,73.8,4,9
